filename;EZ;ES;EWS1;EWS2;EWS3;EWS4;EWS5;EWZ1;EWZ2;EWZ3;EWZ4;EWZ5;
norm_wiki_en;4.288221453845133;11.543993773635416;6.389173829053054;2.176459476605999;0.48467886886995715;0.10965315372403221;0.030771104451519656;3.516604470183124;3.0183187264269065;2.481565484290427;2.0211844240219574;1.6724082289592754;
norm_wiki_eo;4.176788490262166;11.560529950317907;6.557677234078355;2.4847184852183135;0.6336177966810873;0.16165779201004796;0.04690546835342568;3.3400052250232193;2.8718269013051545;2.392624587035089;1.9915096922536761;1.7090179004712642;
norm_wiki_et;4.169833224728489;13.746243545091751;5.4241866669806;0.9047403322081947;0.11619701011983936;0.023647299885483364;0.007509992883867139;3.5069582320165624;3.1344061962308287;2.6108656724258816;2.1114425505970322;1.7297213381492909;
norm_wiki_la;4.228247465746812;11.969194044355133;4.400032603926763;1.1668887647002142;0.3880413992919345;0.20647488388912688;0.16511413504710004;3.4501259673612608;2.823492163262735;2.1520316385064517;1.6427642291988729;1.3127480870546822;
norm_wiki_nv;3.8749372588209434;9.15401183080255;3.8639523159412446;1.7188198111650852;0.8992652848711591;0.5385834295303824;0.3138592449194536;2.947265495598835;2.367585223154768;1.7952681527559968;1.3416003276613753;1.0198484020884224;
norm_wiki_so;4.040113860382521;11.731104737245332;5.398730986472355;1.608620831681126;0.4096041823043308;0.11660859314487311;0.039504166976872875;3.299565409789383;2.844370594122904;2.3743093837519735;1.9450305547165083;1.5862732850823675;
sample0;4.273001240566633;7.748741386140158;7.486389777781658;4.40670171593797;0.5950087061882987;0.01206212769881112;0.00010111418198626783;2.9158943387964547;2.0003592682995146;1.53928209476119;1.4385823139605007;1.3919693158811344;
sample1;4.1270061355497205;11.500698483659841;5.372239759905221;1.5747353459653857;0.5075090040126763;0.2934580669380296;0.15056527857618296;3.2391498125246483;2.861279783834067;2.326684596865657;1.8135098962609653;1.4311234836949998;
sample2;3.993311800232584;8.023869815826421;7.34862320985209;3.7819346656167916;0.8595059631091246;0.08199123582443552;0.002987010033862533;3.0504394888033013;2.4676602229084947;1.9397719331152277;1.7020321479357166;1.6144126881749608;
sample3;3.930297834157987;9.061119324692852;5.950214658062274;2.630807418221706;1.2640914239268135;0.41432739497177973;0.2001232778310399;3.1844662510639306;2.6278951354582425;2.0239901619216036;1.5342420380424457;1.2504121960908972;
sample4;4.2538095673790135;17.129669110943123;3.4442531122139424;0.23407601703787445;0.003227427611764755;7.608894145064654e-06;-0.0;4.229101556477653;4.226829125635488;4.17853533136325;3.7661316304263335;2.390571186582876;
sample5;4.441688018481797;16.50952760746038;-0.0;-0.0;-0.0;-0.0;-0.0;3.5230979882882254;3.2506207434795766;2.83427149301674;2.1724410785282933;1.4468681120271059;
